ascl_id	credit	described_in	citation_method
1007.006	Knebe, Alexander; Doumler, Timur	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010MNRAS.403..453D";}	
1010.001	Pence, William D.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1999ASPC..172..487P";}	http://adsabs.harvard.edu/abs/1999ASPC..172..487P
1010.002	Seaman, Rob; Pence, William; White, Rick	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009PASP..121..414P";}	
1010.003	Malbet, Fabien; Duvert, Gilles; Millour, Florentin; Le Bouquin, Jean-Baptiste; Mella, Guillaume; Halipré, Luc; Chelli, Alain; Lafrasse, Sylvain; Altariba, Evelyne; Zins, Gérard	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010SPIE.7734E.138M";}	Please see citation information here: http://www.jmmc.fr/acknowledgement/amberdrs.htm
1010.004	Pietrobon, Davide; Balbi, Amedeo; Cabella, Paolo; Gorski, Krzysztof M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010ApJ...723....1P";}	
1010.005	Drążkowska, Joanna; Hanasz, Michał; Kowalik, Kacper	a:1:{i:0;s:63:"http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.52.4779";}	
1010.006	van Straten, W.; Bailes, M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PASA...28....1V";}	
1010.007	Zu, Ying; Kochanek, C. S.; Peterson, Bradley. M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJ...735...80Z";}	For: Quasar optical variability studies, http://adsabs.harvard.edu/abs/2013ApJ...765..106Z; Spectroscopic reverb mapping, http://adsabs.harvard.edu/abs/2011ApJ...735...80Z; Photometric reverb mapping, http://adsabs.harvard.edu/abs/2016ApJ...819..122Z
1010.008	Kendrew, Sarah; Jolissaint, Laurent; Brandl, Bernhard; Lenzen, Rainer; Pantin, Eric; Glasse, Alistair; Blommaert, Joris; Venema, Lars; Siebenmorgen, Ralf; Molster, Frank		http://adsabs.harvard.edu/abs/2010SPIE.7735E.179K
1407.002	Wilkins, T. N.; Axon, D. J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1992ASPC...25..427W";}	
1010.009	Mortonson, Michael J.; Peiris, Hiranya V.; Easther, Richard	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PhRvD..83d3505M";}	
1010.010	Dvorkin, Cora; Hu, Wayne	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010PhRvD..82d3513D";}	
1010.011	Easther, Richard; Finkel, Hal; Roth, Nathaniel	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010JCAP...10..025E";}	
1010.012	Oguri, Masamune	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010PASJ...62.1017O";}	http://adsabs.harvard.edu/abs/2010PASJ...62.1017O
1010.013	Numata, Ryusuke; Howes, Gregory G.; Tatsuno, Tomoya; Barnes, Michael; Dorland, William	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010JCoPh.229.9347N";}	
1010.014	Stone, James M.; Gardiner, Thomas A.; Teuben, Peter; Hawley, John F.; Simon, Jacob B.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008ApJS..178..137S";}	
1010.015	Sutherland, Ralph S.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2010Ap%26SS.327..173S";}	
1010.016	Ali-Haimoud, Yacine	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009MNRAS.395.1055A";}	http://adsabs.harvard.edu/abs/2009MNRAS.395.1055A and http://adsabs.harvard.edu/abs/2011MNRAS.411.2750S
1010.017	Offringa, A. R.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2012A%26A...539A..95O";}	http://adsabs.harvard.edu/abs/2012A%26A...539A..95O
1010.018	Schneider, Michael D.; Holm, Oskar; Knox, Lloyd	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJ...728..137S";}	http://adsabs.harvard.edu/abs/2011ApJ...728..137S
1010.019	Capuzzo-Dolcetta, R.; Mastrobuono-Battisti, A.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011NewA...16..284C";}	
1010.020	Reinecke, Martin	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2011A%26A...526A.108R";}	
1010.021	Spekkens, K. J.; Sellwood, J. A.	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2007ApJ...664..204S";i:1;s:49:"http://adsabs.harvard.edu/abs/2010MNRAS.404.1733S";}	
1010.022	O'Connor, Evan; Ott, Christian D.	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010CQGra..27k4103O";i:1;s:49:"http://adsabs.harvard.edu/abs/2015ApJS..219...24O";}	
1010.023	Nakasone, Arturo; Prendinger, Helmut; Holland, Simon; Hut, Piet; Makino, Jun; Miura, Kenichi	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009arXiv0911.5683N";}	
1010.024	Zibetti, Stefano	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009arXiv0911.4956Z";}	Include "This work has made use of the adaptive smoothing code adaptsmooth, developed by Stefano Zibetti and available at the URL http://www.arcetri.astro.it/~zibetti/Software/ADAPTSMOOTH.html” and cite http://adsabs.harvard.edu/abs/2009arXiv0911.4956Z
1010.025	Santos, Mario; Ferramacho, Luis; Silva, Marta; Amblard, Alexandre; Cooray, Asantha	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010MNRAS.406.2421S";}	
1010.027	Kessler, Richard; Bernstein, Joseph P.; Cinabro, David; Dilday, Benjamin; Frieman, Joshua A.; Jha, Saurabh; Kuhlmann, Stephen; Miknaitis, Gajus; Sako, Masao; Taylor, Matt; VanderPlas, Jake	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009PASP..121.1028K";}	http://adsabs.harvard.edu/abs/2009PASP..121.1028K
1010.028	Strong, A. W.; Moskalenko, I. V.; Porter, T. A.; Jóhannesson, G.; Orlando, E.; Digel, S. W.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012cosp...39.1281M";}	
1010.029	Brewer, Brendon J.; Pártay, Livia B.; Csányi, Gábor	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009arXiv0912.2380B";}	
1010.030	Lawrence, Earl; Heitmann, Katrin; White, Martin; Higdon, David; Wagner, Christian; Habib, Salman; Williams, Brian	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010ApJ...713.1322L";}	Please see citation information on the bottom of this page: http://www.hep.anl.gov/cosmology/CosmicEmu/emu.html
1010.031	VanderPlas, J. T.; Connolly, A. J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009AJ....138.1365V";}	
1010.033	Kotulla, Ralf; Fritze, Uta; Weilbacher, Peter; Anders, Peter	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009MNRAS.396..462K";}	http://adsabs.harvard.edu/abs/2009MNRAS.396..462K
1010.034	Refregier, Alexandre; Amara, Adam; Kitching, Thomas; Rassat, Anais	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2011A%26A...528A..33R";}	http://adsabs.harvard.edu/abs/2011A%26A...528A..33R
1010.035	High, F. W.; Stubbs, C. W.; Rest, A.; Stalder, B.; Challis, P.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009AJ....138..110H";}	
1010.036	Jacob, Joseph C.; Katz, Daniel S.; Berriman, G. Bruce; Good, John; Laity, Anastasia C.; Deelman, Ewa; Kesselman, Carl; Singh, Gurmeet; Su, Mei-Hui; Prince, Thomas A.; Williams, Roy	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010arXiv1005.4454J";}	
1010.037	Palmer, David M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009ApJ...695..496P";}	
1010.038	Assef, R. J.; Kochanek, C. S.; Brodwin, M.; Cool, R.; Forman, W.; Gonzalez, A. H.; Hickox, R. C.; Jones, C.; Le Floc'h, E.; Moustakas, J.; Murray, S. S.; Stern, D.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010arXiv1004.5415A";}	
1010.039	Carter, Joshua A.; Winn, Joshua N.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009ApJ...704...51C";}	
1010.040	Copi, Craig J.; Vachaspati, Tanmay	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PhRvD..83b3529C";}	
1010.041	Pires, S.; Starck, J.-L.; Amara, A.; Teyssier, R.; Refregier, A.; Fadili, J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009MNRAS.395.1265P";}	
1010.042	Lewis, Antony	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008PhRvD..78b3002L";}	
1010.044	Nonaka, A.; Almgren, A. S.; Bell, J. B.; Lijewski, M. J.; Malone, C. M.; Zingale, M.	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010ApJS..188..358N";i:1;s:49:"http://adsabs.harvard.edu/abs/2010arXiv1008.2801A";}	
1010.045	Mignone, Andrea; Tzeferacos, P.; Zanni, C.; Tesileanu, O.; Matsakos, T.; Bodo, G.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2007ApJS..170..228M";}	
1010.046	Cardiel, Nicolas	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006MNRAS.371..703S";}	http://adsabs.harvard.edu/abs/2010ascl.soft10046C
1010.047	Ho, Shirley; Hirata, Christopher M.; Padmanabhan, Nikhil; Seljak, Uros; Bahcall, Neta		http://adsabs.harvard.edu/abs/2008PhRvD..78d3519H and http://adsabs.harvard.edu/abs/2008PhRvD..78d3520H
1010.048	Gaburov, Evghenii; Bédorf, Jeroen; Portegies Zwart, Simon	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012JCoPh.231.2825B";}	
1010.049	Ho, Shirley; Dedeo, Simon; Spergel, David	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009arXiv0903.2845H";}	
1010.050	Coe, D.; Fuselier, E.; Benitez, N.; Broadhurst, T.; Frye, B.; Ford, H.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008ApJ...681..814C";}	
1010.051	Barnes, Joshua; Hut, Piet; Teuben, Peter	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1995ASPC...77..398T";}	http://adsabs.harvard.edu/abs/1995ASPC...77..398T
1010.053	Khoury, J.; Wyman, M.	a:1:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/2009PhRvD..80f4023K";}	
1010.054	Battefeld, Diana; Battefeld, Thorsten; Wesley, Daniel H.; Wyman, Mark	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008JCAP...02..001B";}	
1010.057	Krist, John; Hook, Richard; Stoehr, Felix	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1995chst.conf..311K";}	
1010.058	Wetzstein, M.; Nelson, Andrew F.; Naab, T.; Burkert, A.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009ApJS..184..298W";}	http://adsabs.harvard.edu/abs/2009ApJS..184..298W and http://adsabs.harvard.edu/abs/2009ApJS..184..326N
1010.059	Morel, Pierre; Lebreton, Yveline	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2008Ap%26SS.316...61M";}	
1010.060	Brandenburg, Axel; Dobler, Wolfgang	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011JCoPh.230....1B";}	
1010.061	Bertin, Emmanuel; Marmo, Chiara	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2001misk.conf..353B";}	http://adsabs.harvard.edu/abs/2001misk.conf..353B
1010.062	Marmo, Chiara; Bertin, Emmanuel	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008ASPC..394..619M";}	
1010.063	Bertin, Emmanuel	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006ASPC..351..112B";}	
1010.064	Bertin, E.; Arnouts, S.	a:1:{i:0;s:55:"https://ui.adsabs.harvard.edu/#abs/1996A&AS..117..393B/";}	https://ui.adsabs.harvard.edu/#abs/1996A&AS..117..393B/
1010.065	Chu, Yi-Zen	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009PhRvD..79d4031C";}	
1010.066	Bertin, Emmanuel; Fouqué, Pascal	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009MmSAI..80..422B";}	http://adsabs.harvard.edu/abs/2009MmSAI..80..422B
1010.067	Bertin, Emmanuel	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009MmSAI..80..422B";}	http://adsabs.harvard.edu/abs/2009MmSAI..80..422B
1010.068	Bertin, Emmanuel	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002ASPC..281..228B";}	http://adsabs.harvard.edu/abs/2002ASPC..281..228B
1010.069	Marmo, Chiara; Bertin, Emmanuel	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008ASPC..394..619M";}	http://adsabs.harvard.edu/abs/2008ASPC..394..619M
1010.070	Coe, Dan	a:1:{i:0;s:53:"https://ui.adsabs.harvard.edu/abs/2009arXiv0906.4123C";}	
1010.071	Shirokov, Alexander	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2007arXiv0711.2989S";}	
1010.072	O'Shea, Brian W.; Bryan, Greg; Bordner, James; Norman, Michael L.; Abel, Tom; Harkness, Robert; Kritsuk, Alexei	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2004astro.ph..3044O";i:1;s:49:"http://adsabs.harvard.edu/abs/2014ApJS..211...19B";}	http://adsabs.harvard.edu/abs/2014ApJS..211...19B, a footnote to http://enzo-project.org, and text in CITATION file <a href="https://bitbucket.org/enzo/enzo-3.0/src/22fbe6b539c500ee073b48e5c27cd20035f67397/CITATION">here</a>.
1010.075	van der Tak, F. F. S.; Black, J. H.; Schöier, F. L.; Jansen, D. J.; van Dishoeck, E. F.	a:1:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/2007A&A...468..627V";}	https://ui.adsabs.harvard.edu/#abs/2007A&A...468..627V
1010.076	Hut, Piet; McMillan, Steve; Makino, Jun; Portegies Zwart, Simon	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2003IAUS..208..331H";}	
1010.077	Schöier, Fredrik; van der Tak, Floris; van Dishoeck, Ewine; Black, John	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2005A%26A...432..369S";}	
1010.078	Becciani, U.; Antonuccio-Delogu, V.; Gheller, C.; Calori, L.; Buonomo, F.; Imboden, S.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2000astro.ph..6402B";}	
1010.079	Geant4 Collaboration	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006ITNS...53..270A";}	
1010.080	Shirokov, Alexander; Bertschinger, Edmund	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005astro.ph..5087S";}	Please cite using the bibtex here: www.gracos.org/bibtex.bib
1010.081	Weidenspointner, G.; Harris, M.; Ferguson, C.; Sturner, S.; Teegarden, B.; Wunderer, C.	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2004ESASP.552..905W";i:1;s:49:"http://adsabs.harvard.edu/abs/2005ApJS..156...69W";}	
1010.082	Fryxell, B.; Olson, K.; Ricker, P.; Timmes, F. X.; Zingale, M.; Lamb, D. Q.; MacNeice, P.; Rosner, R.; Truran, J. W.; Tufo, H.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2005Ap%26SS.298..341W";}	
1010.083	Paxton, Bill; Bildsten, Lars; Dotter, Aaron; Herwig, Falk; Lesaffre, Pierre; Timmes, Frank	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJS..192....3P";}	
1010.084	Baiotti, Luca; Giacomazzo, Bruno; Hawke, Ian; et al.	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005PhRvD..71b4035B";i:1;s:49:"http://adsabs.harvard.edu/abs/2007CQGra..24S.235G";}	http://adsabs.harvard.edu/abs/2005PhRvD..71b4035B http://adsabs.harvard.edu/abs/2007CQGra..24S.235G http://adsabs.harvard.edu/abs/2005PhRvD..71j4006H
1010.085	Schombert, James	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009arXiv0910.0896S";}	
1011.001	Barnes, Joshua E.; Hibbard, John E.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009AJ....137.3071B";}	
1011.002	Stetson, P. B.; Pancino, E.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008PASP..120.1332S";}	
1011.003	Le Borgne, Damien; Rocca-Volmerange, Brigitte	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2002A%26A...386..446L";}	
1011.004	Moralejo, R. A.; Gaug, M.; Carmona, E.; Colin, P.; Delgado, C.; Lombardi, S.; Mazin, D.; Scalzotto, V.; Sitarek, J.; Tescaro, D.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009arXiv0907.0943M";}	
1011.005	Copi, Craig J.; Vachaspati, Tanmay	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PhRvD..83b3529C";}	
1011.006	Brescia, Massimo; Longo, Giuseppe; Djorgovski, George S.; Cavuoti, Stefano; D'Abrusco, Raffaele; Donalek, Ciro; di Guido, Alessandro; Fiore, Michelangelo; Garofalo, Mauro; Laurino, Omar; Mahabal, Ashish; Manna, Francesco; Nocella, Alfonso; D'Angelo, Giovanni; Paolillo, Maurizio	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010arXiv1010.4843B";}	
1011.007	Teyssier, Romain	a:1:{i:0;s:55:"https://ui.adsabs.harvard.edu/abs/2002A%26A...385..337T";}	https://ui.adsabs.harvard.edu/abs/2002A%26A...385..337T
1011.008	Hynes, R. I.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002ASPC..261..676H";}	
1011.009	Tomasik, Boris	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009CoPhC.180.1642T";}	
1011.010	de Oliveira-Costa, Angelica; Tegmark, Max; Gaensler, B. M.; Jonas, Justin; Landecker, T. L.; Reich, Patricia	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008MNRAS.388..247D";}	http://adsabs.harvard.edu/abs/2008MNRAS.388..247D
1011.011	Kainulainen, Kimmo; Marra, Valerio	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PhRvD..83b3009K";}	
1011.012	Frolov, Andrei V.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008JCAP...11..009F";}	http://adsabs.harvard.edu/abs/2008JCAP...11..009F
