id,ascl_id,bibcode,num_citations,credit,num_commas,num_semicolons,type
337,1108.002,2012MNRAS.420.1518M,57,"Mandelbaum, Rachel; Hirata, Christopher M.; Leauthaud, Alexie; Massey, Richard J.; Rhodes, Jason",5,4,described_in
372,1109.017,2001ASPC..238..317S,14,"Sabbey, Chris N.; McMahon, Richard G.; Lewis, James R.; Irwin, Mike J.; Babusiaux, Carine",5,4,described_in
376,1109.023,2012MNRAS.421.3343G,38,"Giocoli, Carlo; Meneghetti, Massimo; Bartelmann, Matthias; Moscardini, Lauro; Boldrin, Michele",5,4,described_in
380,1110.005,2006MNRAS.372..565F,195,"Feldmann, R.; Carollo, C. M.; Porciani, C.; Lilly, S. J.; Oesch, P.",5,4,described_in
381,1110.005,2008arXiv0801.3275F,7,"Feldmann, R.; Carollo, C. M.; Porciani, C.; Lilly, S. J.; Oesch, P.",5,4,described_in
382,1110.005,2006MNRAS.372..565F,195,"Feldmann, R.; Carollo, C. M.; Porciani, C.; Lilly, S. J.; Oesch, P.",5,4,citation_method
396,1110.018,2010ApJS..187..212C,64,"Cantalupo, C. M.; Borrill, J. D.; Jaffe, A. H.; Kisner, T. S.; Stompor, R.",5,4,described_in
444,1201.014,2009A&A...495..697W,78,"Jaffe, Tess; Waelkens, Andre; Reinecke, M.; Kitaura, F. S.; Ensslin, T. A.",5,4,described_in
459,1203.002,2012MNRAS.422..449B,102,"Barden, Marco; Häußler, Boris; Peng, Chien Y.; McIntosh, Daniel H.; Guo, Yicheng",5,4,described_in
460,1203.003,2013ApJS..208....5N,398,"Cooper, Michael C.; Newman, Jeffrey A.; Davis, Marc; Finkbeiner, Douglas P.; Gerke, Brian F.",5,4,described_in
461,1203.003,2013ApJS..208....5N,398,"Cooper, Michael C.; Newman, Jeffrey A.; Davis, Marc; Finkbeiner, Douglas P.; Gerke, Brian F.",5,4,citation_method
468,1203.008,2012A&A...544A...8T,10,"Tewes, Malte; Cantale, Nicolas; Courbin, Frédéric; Kitching, Thomas; Meylan, Georges",5,4,described_in
527,1208.001,2010AJ....139.1782L,303,"Lang, Dustin; Hogg, David W.; Mierle, Keir; Blanton, Michael; Roweis, Sam",5,4,described_in
528,1208.001,2010AJ....139.1782L,303,"Lang, Dustin; Hogg, David W.; Mierle, Keir; Blanton, Michael; Roweis, Sam",5,4,citation_method
534,1208.006,2013A&C.....1...17B,10,"Bard, Deborah; Bellis, Matthew; Allen, Mark T.; Yepremyan, Hasmik; Kratochvil, Jan M.",5,4,described_in
535,1208.006,2012arXiv1208.3658B,3,"Bard, Deborah; Bellis, Matthew; Allen, Mark T.; Yepremyan, Hasmik; Kratochvil, Jan M.",5,4,citation_method
597,1210.025,2001ApJ...553..174G,679,"Gammie, Charles F.; McKinney, Jonathan C.; Noble, Scott C.; Tóth, Gábor; Del Zanna, Luca",5,4,described_in
613,1212.002,2010ApJ...708.1760G,40,"Getman, Konstantin; Feigelson, Eric; Broos, Patrick; Townsley, Leisa; Garmire, Gordon",5,4,described_in
614,1212.003,2010CS&D....3a5002G,5,"Groen, Derek; Rieder, Steven; Grosso, Paola; de Laat, Cees; Portegies Zwart, Simon",5,4,described_in
620,1212.009,2018PASA...35...11H,21,"Hancock, P. J.; Murphy, T.; Gaensler, B. M.; Hopkins, A.; Curran, J. R.",5,4,described_in
621,1212.009,2012MNRAS.422.1812H,110,"Hancock, P. J.; Murphy, T.; Gaensler, B. M.; Hopkins, A.; Curran, J. R.",5,4,citation_method
622,1212.009,2018PASA...35...11H,21,"Hancock, P. J.; Murphy, T.; Gaensler, B. M.; Hopkins, A.; Curran, J. R.",5,4,citation_method
640,1302.009,2010A&A...516A..43B,53,"Bavouzet, Nicolas; Beelen, Alexandre; Bethermin, Matthieu; Dole, Herve; Ponthieu, Nicolas",5,4,citation_method
642,1302.011,2013ApJ...766...78M,73,"Mucciarelli, A.; Pancino, E.; Lovisi, L.; Ferraro, F. R.; Lapenna, E.",5,4,described_in
654,1303.003,2013A&C.....2...27A,41,"Akeret, Joël; Seehars, Sebastian; Amara, Adam; Refregier, Alexandre; Csillaghy, André",5,4,described_in
655,1303.003,2013A&C.....2...27A,41,"Akeret, Joël; Seehars, Sebastian; Amara, Adam; Refregier, Alexandre; Csillaghy, André",5,4,citation_method
661,1303.012,2010ASPC..434..329M,3,"Huenemoerder, David; Nowak, Mike; Dewey, Dan; Schulz, Norbert; Mitschang, Arik",5,4,described_in
668,1303.019,2006ASPC..351..512M,20,"Marganian, P.; Garwood, R. W.; Braatz, J. A.; Radziwill, N. M.; Maddalena, R. J.",5,4,described_in
694,1304.018,2012MNRAS.426..510C,38,"Chluba, Jens; Switzer, Eric; Nagai, Daisuke; Sazonov, Sergey; Nelson, Kaylea",5,4,described_in
695,1304.018,2013MNRAS.430.3054C,21,"Chluba, Jens; Switzer, Eric; Nagai, Daisuke; Sazonov, Sergey; Nelson, Kaylea",5,4,described_in
696,1304.018,2012MNRAS.426..510C,38,"Chluba, Jens; Switzer, Eric; Nagai, Daisuke; Sazonov, Sergey; Nelson, Kaylea",5,4,citation_method
697,1304.018,2013MNRAS.430.3054C,21,"Chluba, Jens; Switzer, Eric; Nagai, Daisuke; Sazonov, Sergey; Nelson, Kaylea",5,4,citation_method
751,1307.020,2013ISPL...20..591C,24,"Carrillo, R. E.; McEwen, J. D.; Van De Ville, D.; Thiran, J.-P.; Wiaux, Y.",5,4,described_in
773,1309.004,2010PASP..122.1375B,22,"Budavári, Tamás; Dobos, László; Fekete, György; Gray, Jim; Szalay, Alex",5,4,described_in
774,1309.004,2010PASP..122.1375B,22,"Budavári, Tamás; Dobos, László; Fekete, György; Gray, Jim; Szalay, Alex",5,4,citation_method
780,1310.001,2008AN....329..295C,49,"Jenness, Tim; Economou, Frossie; Cavanagh, Brad; Currie, Malcolm J.; Gibb, Andy",5,4,described_in
781,1310.001,2015A&C.....9...40J,17,"Jenness, Tim; Economou, Frossie; Cavanagh, Brad; Currie, Malcolm J.; Gibb, Andy",5,4,described_in
782,1310.001,2015A&C.....9...40J,17,"Jenness, Tim; Economou, Frossie; Cavanagh, Brad; Currie, Malcolm J.; Gibb, Andy",5,4,citation_method
830,1401.002,2012GMD.....5..277W,4,"Morley, Steve; Koller, Josef; Welling, Dan; Larsen, Brian; Niehof, Jon",5,4,described_in
855,1402.015,2014MNRAS.438.1176W,20,"Westmeier, Tobias; Jurek, Russell; Obreschkow, Danail; Koribalski, Bärbel S.; Staveley-Smith, Lister",5,4,described_in
868,1402.027,2013A&A...560A..83M,7,"Machado, D. P.; Leonard, A.; Starck, J.-L.; Abdalla, F. B.; Jouvel, S.",5,4,described_in
949,1406.013,1992ESOC...41..117P,16,"Daly, Phil N.; Beard, Steven M; Lightfoot, John, L.; Bridger, Alan",5,3,described_in
976,1407.016,2014ApJS..214....3B,13,"Beaumont, Christopher; Goodman, Alyssa; Williams, Jonathan; Kendrew, Sarah; Simpson, Robert",5,4,described_in
1065,1412.014,2000CoPhC.124..290M,268,"Reimer, A.; Engel, Ralph; Rachen, J. P.; Protheroe, R. J.; Stanev, Todor",5,4,described_in
1066,1412.014,2000CoPhC.124..290M,268,"Reimer, A.; Engel, Ralph; Rachen, J. P.; Protheroe, R. J.; Stanev, Todor",5,4,citation_method
