ascl_id	credit	num_citations	bibcode
1011.022	The yt project	3	2010ascl.soft11022T
1101.006	Ziegler, U.	2	2011ascl.soft01006Z
1101.007	Sharma, Sanjib; Bland-Hawthorn, Joss; Johnston, Kathryn V.; Binney, James	1	2011ascl.soft01007S
1101.010	Taylor, Mark	8	2011ascl.soft01010T
1102.003	Keeton, Charles R.	7	2011ascl.soft02003K
1102.004	Kneib, Jean-Paul; Bonnet, Henri; Golse, Ghyslain; Sand, David; Jullo, Eric; Marshall, Phil	3	2011ascl.soft02004K
1102.007	Saha, Prasenjit; Williams, Liliya L. R.	2	2011ascl.soft02007S
1102.009	Knollmann, Steffen R.; Knebe, Alexander	8	2011ascl.soft02009K
1102.010	Hubber, David; Batty, Chris; McLeod, Andrew; Whitworth, Anthony; Bisbas, Thomas; Stamatellos, Dimitrios; Walch, Stefanie; Rawiraswattana, Krisada; Goodwin, Simon	7	2011ascl.soft02010H
1102.012	Rosolowsky, Erik; Leroy, Adam	3	2011ascl.soft02012R
1102.014	Collaborative Effort	3	2011ascl.soft02014C
1102.016	Audit, Edouard; González, Matthias; Vaytet, Neil; Fromang, Sebastien; Hennebelle, Patrick; Teyssier, Romain; Tremblin, Pascal; Thooris, Bruno	2	2011ascl.soft02016A
1102.018	Gooch, Richard	1	2011ascl.soft02018G
1102.020	N-Body Shop	1	2011ascl.soft02020N
1102.025	Lewis, Antony	1	2011ascl.soft02025L
1102.026	Lewis, Antony; Challinor, Anthony	17	2011ascl.soft02026L
1102.027	Barnes, Joshua E.	5	2011ascl.soft02027B
1102.028	Hayes, John C.; Norman, Michael L.; Fiedler, Robert A.; Bordner, James O.; Li, Pak Shing; Clark, Stephen E.; Ud-Doula, Asif; Mac Low, Mordecai-Mark	1	2011ascl.soft02028H
1103.001	Shepherd, Martin	3	2011ascl.soft03001S
1103.004	Price, Daniel J.	5	2011ascl.soft03004P
1103.005	Dolag, Klaus; Reinecke, Martin; Gheller, Claudio; Rivi, Marzia; Krokos, Mel; Jin, Zhefan	1	2011ascl.soft03005D
1103.009	Altay, Gabriel; Croft, Rupert A. C.; Pelupessy, I.	2	2011ascl.soft03009A
1104.002	Cunningham, Andrew J.; Frank, Adam; Varniere, Peggy; Mitran, Sorin; Jones, Thomas W.	2	2011ascl.soft04002C
1104.003	Leitherer, Claus; Schaerer, Daniel; Goldader, Jeff; Gonzalez-Delgado, Rosa; Robert, Carmelle; Foo Kune, Denis; de Mello, Duilia; Devost, Daniel; Heckman, Timothy M.; Aloisi, Alessandra; Martins, Lucimara; Vazquez, Gerardo	2	2011ascl.soft04003L
1104.005	Bruzual, Gustavo; Charlot, Stéphane	2	2011ascl.soft04005B
1104.006	Vazdekis, Alexandre	2	2011ascl.soft04006V
1104.007	Koleva, Mina; Prugniel, Philippe; Bouchard, Antoine; Wu, Yue	1	2011ascl.soft04007K
1104.010	Peng, Chien Y.; Ho, Luis C.; Impey, Chris D.; Rix, Hans-Walter	16	2011ascl.soft04010P
